,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,PM2.5_10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,date
24,16,1.8,0.55,0.17,6.9,16,23,11,20,2,2,NR,92,3.1,2,299,282,0.9,0.8,2014/2/5
25,18,1.7,0.29,0.09,2.6,8.2,11,18,12,11,10,NR,89,1.7,1.8,70,102,1.7,0.7,2014/2/6
26,18,1.8,0.44,0.18,12,19,31,8.3,57,20,25,NR,97,2.6,2,65,80,1.3,1.1,2014/2/7
27,15,1.8,0.31,0.08,3.9,7.6,12,14,13,7,9,NR,84,1.1,1.8,75,75,2,1.7,2014/2/8
28,14,1.8,0.4,0.08,2.3,11,13,18,1,7,10,0.6,91,2.1,1.9,308,327,1.5,1.2,2014/2/9
29,9.1,1.8,0.35,0.06,1.6,4.4,6,30,3,4,0,NR,83,1,1.8,55,67,3.1,3.3,2014/2/10
30,6.9,1.8,0.31,0.08,1.6,7.2,8.9,26,25,17,23,NR,82,1.4,1.8,78,283,2.6,0.7,2014/2/11
31,11,1.8,0.35,0.07,2.2,5.3,7.6,24,10,6,4,NR,74,1.3,1.8,72,87,2.5,1.2,2014/2/12
32,13,1.8,0.37,0.15,2.4,12,15,21,2,4,1,0.6,88,1.3,1.9,29,54,1.8,0.7,2014/2/13
33,10,1.8,0.3,0.09,1.2,7.3,8.5,28,2,4,6,NR,86,1.4,1.8,83,78,2.1,1.3,2014/2/14
34,11,1.8,0.36,0.09,1.7,11,13,22,6,8,3,NR,81,0.8,1.9,53,57,1.1,0.7,2014/2/15
35,16,1.8,0.59,0.16,6.5,16,22,13,33,21,21,NR,82,5.3,1.9,315,315,1.8,0.4,2014/2/16
36,18,1.8,0.89,0.27,12,20,32,14,35,13,19,NR,78,1.9,2,66,102,0.7,0.8,2014/2/17
37,20,1.8,0.98,0.56,15,23,39,13,42,11,21,NR,78,3.5,2.3,236,231,2.5,0.6,2014/2/18
38,12,1.8,0.35,0.11,1.5,8.9,10,24,14,10,10,NR,84,0.8,1.9,67,74,2.6,1.4,2014/2/19
39,11,1.7,0.33,0.09,3.5,7.7,11,31,25,16,14,NR,68,1.4,1.8,14,295,2.9,0.3,2014/2/20
40,21,1.8,0.93,0.44,7.9,29,37,17,60,18,32,NR,70,5,2.2,211,215,0.9,1.1,2014/3/1
41,16,1.7,0.34,0.06,1.4,5.6,7,29,0,2,2,NR,83,1.3,1.8,72,106,3.4,2,2014/3/2
42,14,1.8,0.34,0.07,1.7,9.4,11,35,20,10,18,NR,84,1.3,1.8,71,79,3.5,1.7,2014/3/3
43,16,1.8,0.5,0.16,6.7,25,32,10,64,37,37,NR,88,3,2,330,5.6,0.7,0.7,2014/3/4
44,15,1.8,0.37,0.07,2.3,5.5,7.8,29,0,6,7,NR,81,1,1.8,64,64,3,2.1,2014/3/5
45,15,1.8,0.5,0.18,2.5,15,18,17,15,8,14,NR,78,1.5,1.9,314,310,1.5,0.4,2014/3/6
46,14,1.7,0.29,0.12,3.1,8.9,12,25,7,0,0,0.2,85,1.4,1.9,352,314,2,0.4,2014/3/7
47,16,1.9,0.58,0.25,9.6,23,33,6.1,49,8,18,NR,88,2.8,2.1,320,337,1,1.1,2014/3/8
48,12,1.8,0.28,0.04,1,6,6.9,39,9,0,0,NR,85,1.4,1.8,77,70,3.1,1.6,2014/3/9
49,16,1.9,0.96,0.45,23,21,43,3.8,32,24,31,NR,88,3.5,2.3,224,231,1.4,1.5,2014/3/10
50,18,1.9,1.15,0.44,12,28,41,12,47,26,36,NR,81,3.9,2.3,264,307,1.6,1.2,2014/3/11
51,17,2,1.21,0.58,31,27,58,1.8,105,57,80,NR,94,4.2,2.6,341,12,0.9,0.7,2014/3/12
52,-11.2,1.8,0.49,0.16,3.2,17,20,21,30,7,5,2.6,96,3.6,1.9,306,305,3.3,1.6,2014/3/13
53,15,1.8,0.48,0.07,1.3,5.2,6.6,45,73,48,47,NR,55,2.2,1.9,57,56,3.1,3.1,2014/3/14
54,18,1.9,1.17,0.47,7.6,32,39,28,136,76,78,NR,66,5.9,2.4,216,225,3,1.7,2014/3/15
55,17,1.9,1.06,0.38,7.4,30,37,9.5,85,56,62,0.4,72,5.8,2.3,224,303,1,0.8,2014/3/16
56,20,1.8,1.05,0.31,16,28,44,22,75,34,45,NR,67,6.5,2.1,286,245,1.3,0.2,2014/3/17
57,21,1.8,1.14,0.41,17,29,45,13,53,13,29,NR,71,2.5,2.2,357,275,1,0.4,2014/3/18
58,24,1.9,1.47,0.56,12,32,44,13,93,51,57,NR,71,4.1,2.4,280,339,1,0.6,2014/3/19
59,24,1.7,0.49,0.2,3.3,15,18,19,74,46,47,NR,65,2.8,1.9,68,58,1.7,0.9,2014/3/20
60,19,1.7,0.4,0.06,0.9,7.1,8,38,17,5,6,NR,88,1.6,1.7,45,75,1.9,0.8,2014/4/1
61,20,1.7,0.44,0.11,4.1,11,16,23,15,1,0,NR,73,2.1,1.8,299,308,1.9,1,2014/4/2
62,20,1.7,0.56,0.21,3.2,17,20,19,41,27,28,NR,82,2,1.9,141,192,1.6,0.9,2014/4/3
63,20,1.7,0.33,0.07,1.1,7.7,8.8,40,31,19,23,NR,58,1.2,1.7,87,81,2.3,0.9,2014/4/4
64,21,1.7,0.56,0.15,3.6,12,16,46,67,54,59,NR,70,2.9,1.8,327,323,1.3,0.6,2014/4/5
65,21,1.8,0.6,0.18,3.6,17,21,32,44,29,41,NR,62,2.1,1.9,212,209,2.9,1.3,2014/4/6
66,18,1.6,0.37,0.06,1.3,6.8,8,53,57,45,35,1.6,84,1,1.7,72,63,2.5,2.6,2014/4/7
67,22,1.7,0.72,0.21,11,21,32,12,10,13,13,NR,80,1.9,1.9,2.7,339,0.8,0.3,2014/4/8
68,24,1.7,0.5,0.2,5.7,16,22,30,55,28,35,NR,69,3.2,1.9,315,311,2.8,1.3,2014/4/9
69,24,1.7,0.44,0.16,15,20,35,14,35,12,12,NR,62,9.1,1.8,310,315,2.3,1.7,2014/4/10
70,22,1.8,0.52,0.19,5.8,20,26,30,80,54,59,NR,79,4.4,2,306,295,1.6,1.1,2014/4/11
71,26,1.7,0.6,0.22,2.8,15,18,53,47,40,43,NR,47,2.3,1.9,223,212,2.9,2.2,2014/4/12
72,26,1.6,0.42,0.11,2.9,10,13,39,71,36,34,NR,59,4.8,1.7,200,205,4.9,4,2014/4/13
73,22,1.6,0.32,0.1,1.7,10,12,27,27,21,24,NR,71,1.5,1.7,67,319,2.6,0.7,2014/4/14
74,22,1.7,0.52,0.22,6.7,21,27,22,41,35,41,NR,65,6.1,1.9,285,294,2.1,1.2,2014/4/15
75,22,1.8,0.45,0.12,2.9,14,17,45,102,32,33,NR,79,3,1.9,293,229,1.5,1,2014/4/16
76,25,1.7,0.38,0.25,2.2,11,13,48,48,14,15,NR,67,3.1,2,203,218,3.1,2.9,2014/4/17
77,25,1.7,0.38,0.13,2,9.1,11,39,48,28,33,NR,67,3,1.8,179,159,1.6,1.4,2014/4/18
78,24,1.7,0.45,0.13,3.2,12,15,15,71,31,41,NR,81,2.5,1.9,337,328,1.1,0.4,2014/4/19
79,26,1.7,0.44,0.09,2.4,9.8,12,36,52,30,27,NR,63,3.7,1.8,306,302,1.6,0.6,2014/4/20
80,22,1.8,0.69,0.26,2.9,19,22,25,52,19,29,0.2,89,2,2.1,336,271,1.3,0.3,2014/5/1
81,24,1.7,0.43,0.1,2.7,8.8,12,30,28,0,11,NR,73,1.8,1.8,338,318,2.2,0.9,2014/5/2
82,25,1.7,0.51,0.24,4,13,17,26,45,2,7,NR,74,3.4,1.9,320,313,2,0.8,2014/5/3
83,24,1.8,0.52,0.18,4.3,14,18,30,24,12,10,NR,81,2.3,2,243,209,1.9,1.7,2014/5/4
84,20,1.7,0.34,0.08,1.8,8.1,9.8,39,7,-1,-1,NR,87,1.6,1.8,82,78,2.3,0.5,2014/5/5
85,18,1.7,0.35,0.1,2,12,14,26,10,5,-1,0.2,85,1.5,1.8,74,97,1,1.2,2014/5/6
86,23,1.7,0.59,0.22,4,12,16,21,25,-1,-1,NR,85,2,1.9,216,226,2,0.8,2014/5/7
87,24,1.7,0.32,0.05,2,7.1,9.2,25,33,8,6,NR,77,2.2,1.7,78,158,0.8,1.3,2014/5/8
88,23,1.9,0.67,0.31,8.2,22,30,12,25,44,34,NR,94,3,2.2,315,319,2.1,1.6,2014/5/9
89,26,1.7,0.59,0.23,4.2,15,19,24,36,14,6,NR,74,4.2,2,214,204,2.2,1.8,2014/5/10
90,30,1.6,0.28,0.09,2.2,8.1,10,34,36,2,0,NR,47,2.1,1.7,196,205,3,2.8,2014/5/11
91,30,1.6,0.18,0.16,2.5,5.3,7.8,25,32,0,0,NR,53,1.4,1.8,192,202,5.8,4.6,2014/5/12
92,28,1.6,0.5,0.27,7.9,10,18,13,26,0,0,NR,73,3.2,1.9,201,205,2.3,2.3,2014/5/13
93,29,1.6,0.2,0.14,3.4,4.6,8,18,15,15,16,NR,61,2.9,1.7,189,199,4.6,4.4,2014/5/14
94,29,1.6,0.21,0.12,3.8,5.5,9.3,17,42,6,6,NR,65,3.7,1.7,189,185,4.5,4.5,2014/5/15
95,27,1.6,0.26,0.05,3.3,5.8,9,20,12,15,9,NR,84,3,1.7,170,176,2.9,2.4,2014/5/16
96,29,1.7,0.43,0.19,5.2,9.2,14,23,57,7,14,NR,68,4.2,1.8,208,205,3.9,3,2014/5/17
97,28,1.6,0.32,0.11,3.7,6.5,10,16,1,12,12,NR,72,3.2,1.7,198,198,4.1,3.9,2014/5/18
98,27,1.8,0.84,0.52,12,20,32,7.7,55,3,8,NR,76,4.8,2.3,207,199,3.5,2.6,2014/5/19
99,28,1.6,0.15,0.01,2.4,4.3,6.7,21,55,4,0,NR,67,1.7,1.6,175,171,5.4,4.4,2014/5/20
100,28,1.7,0.56,0.29,4,13,16,31,51,28,25,NR,76,5.1,2,209,232,2.8,2.7,2014/6/1
101,29,1.6,0.2,0.04,2.2,3.3,5.5,22,7,6,13,NR,64,2.1,1.6,186,188,3.5,4.1,2014/6/2
102,28,1.6,0.2,0.03,2.9,5.6,8.5,17,47,12,2,NR,71,3.1,1.6,175,190,2.4,2.4,2014/6/3
103,27,1.7,0.56,0.35,3.6,13,16,29,27,14,14,NR,80,3.7,2,208,204,3.2,2,2014/6/4
104,28,1.6,0.28,0.08,2.4,5.8,8.3,44,15,11,15,NR,70,2.9,1.7,186,192,3.8,4.1,2014/6/5
105,25,1.6,0.24,0.06,2.2,7.3,9.5,19,2,2,3,0.6,85,2.9,1.6,116,123,4.3,2.9,2014/6/6
106,28,1.6,0.7,0.33,7.2,14,21,22,34,2,4,NR,75,3.9,2,201,190,2.1,1.6,2014/6/7
107,27,1.6,0.18,0.05,1.8,4.1,5.9,19,23,2,0,NR,82,3,1.6,26,332,1.1,0.5,2014/6/8
108,29,1.6,0.28,0.07,1.6,5.4,7,30,19,0,8,NR,71,2.2,1.7,330,318,1.4,0.7,2014/6/9
109,26,1.6,0.24,0.09,1.9,7.3,9.3,20,15,6,4,NR,83,2.8,1.7,66,334,1.9,1.1,2014/6/10
110,27,1.6,0.18,0.09,2.5,4.8,7.3,32,31,11,9,NR,78,2.5,1.7,309,302,3.2,1,2014/6/11
111,30,1.7,0.34,0.2,4.3,7.6,12,24,33,4,4,NR,67,3,1.8,317,310,2.8,1.6,2014/6/12
112,30,1.7,0.46,0.17,1.8,16,18,52,65,28,25,NR,68,5.3,1.9,307,346,1.6,1.3,2014/6/13
113,28,1.7,0.5,0.24,4.6,11,16,20,27,0,7,NR,82,4.4,2,303,263,1.4,0.6,2014/6/14
114,27,1.7,0.46,0.08,3.3,11,14,20,80,50,42,NR,93,5.5,1.8,339,30,1.5,0.7,2014/6/15
115,30,1.6,0.49,0.22,3.3,10,13,28,23,16,8,NR,68,2.6,1.9,207,195,3.4,2.1,2014/6/16
116,27,1.6,0.18,0.03,2,3,5,23,70,3,4,1,84,2.6,1.6,176,177,4.5,4.1,2014/6/17
117,29,1.6,0.39,0.28,2.6,7.7,10,21,6,21,20,NR,76,4,1.9,199,200,4,4.6,2014/6/18
118,30,1.6,0.48,0.28,4.4,11,15,24,43,16,21,NR,69,5.6,1.9,207,222,4.1,3.6,2014/6/19
119,30,1.6,0.46,0.38,3.9,11,15,29,42,17,10,NR,72,5.2,2,200,192,3.9,3.6,2014/6/20
120,30,1.6,0.35,0.34,3.1,8.2,11,29,38,14,41,NR,76,5,1.9,198,195,4.2,3.9,2014/7/1
121,30,1.6,0.39,0.35,4.2,9,13,29,20,10,15,NR,66,4.3,1.9,199,206,3.7,3.7,2014/7/2
122,31,1.6,0.3,0.25,4,8,12,23,42,15,20,NR,67,4.5,1.8,201,200,3.8,3.3,2014/7/3
123,30,1.6,0.38,0.35,3.8,11,14,31,51,41,50,NR,73,4.2,2,207,186,1.6,2,2014/7/4
124,28,1.6,0.64,0.26,5.9,17,23,16,67,30,28,NR,79,5.4,1.9,356,330,1,0.4,2014/7/5
125,31,1.6,0.29,0.08,1.2,5.8,7,43,40,26,23,NR,62,1.8,1.7,205,319,1.1,1,2014/7/6
126,30,1.6,0.21,0.1,2.8,5.6,8.4,35,44,22,20,NR,66,1.3,1.7,51,82,1.9,0.5,2014/7/7
127,28,1.6,0.21,0.08,2.8,6.1,8.9,21,28,7,4,0.6,85,1.2,1.7,121,257,3.5,0.3,2014/7/8
128,30,1.6,0.23,0.07,2.7,3.2,6,34,40,21,22,NR,69,0.6,1.6,182,189,3.9,4.5,2014/7/9
129,30,1.6,0.31,0.33,4.9,8.5,13,19,28,10,9,NR,75,2.3,1.9,203,202,4.1,3.7,2014/7/10
130,30,1.6,0.37,0.33,2.8,9.5,12,29,26,5,14,NR,70,3.3,1.9,195,198,3.5,3.3,2014/7/11
131,30,1.6,0.33,0.3,2.6,6,8.6,27,20,13,6,NR,71,2.2,1.9,200,196,4.4,3.7,2014/7/12
132,31,1.6,0.28,0.1,3.3,5.1,8.4,27,4,11,8,NR,60,2.2,1.7,198,192,4.3,4.2,2014/7/13
133,30,1.6,0.32,0.53,2.9,7.1,10,24,17,12,7,NR,69,1.9,2.1,202,205,5.6,4.4,2014/7/14
134,30,1.6,0.32,0.4,4.1,9.6,14,21,46,21,21,NR,73,3.8,2,204,203,3.3,2.9,2014/7/15
135,29,1.6,0.28,0.12,2.6,8.2,11,24,31,8,8,NR,65,4.1,1.7,55,34,1.6,0.8,2014/7/16
136,30,1.6,0.38,0.2,2.4,8.6,11,47,60,29,29,NR,72,2.7,1.8,7.7,318,1.4,0.6,2014/7/17
137,32,1.6,0.36,0.18,2.1,9.4,11,44,48,24,25,NR,56,2.6,1.8,198,196,2.1,2,2014/7/18
138,29,1.5,0.17,0.04,2.4,4,6.4,21,33,15,14,NR,71,2.1,1.6,59,65,2.1,1.2,2014/7/19
139,29,1.5,0.26,0.12,2.2,4.7,6.9,30,39,15,15,NR,77,2.9,1.7,204,193,2.6,2.6,2014/7/20
140,30,1.6,0.22,0.04,2.1,5.3,7.4,34,27,11,20,NR,72,2.6,1.6,181,184,3.8,3.8,2014/8/1
141,30,1.6,0.33,0.33,2.4,6.8,9.2,37,21,13,18,NR,65,3,2,195,198,5.2,4.4,2014/8/2
142,30,1.6,0.32,0.1,3.5,6.9,10,29,30,20,24,NR,70,3.3,1.7,199,203,4.6,3.9,2014/8/3
143,28,1.6,0.36,0.44,3,9.4,12,23,33,3,12,NR,83,3.8,2.1,202,208,2.8,2.8,2014/8/4
144,26,1.6,0.19,0.1,1.7,6.6,8.3,22,21,14,6,0.8,91,2.1,1.7,46,58,1.6,0.6,2014/8/5
145,28,1.6,0.3,0.08,4,8.1,12,21,34,9,11,NR,78,2.9,1.7,177,151,1.7,1.7,2014/8/6
146,29,1.6,0.31,0.28,3.1,7.1,10,33,27,21,33,NR,78,3.8,1.9,208,207,2.1,1.7,2014/8/7
147,30,1.6,0.24,0.28,2.3,5.8,8,26,31,6,3,NR,72,3.6,1.9,200,194,3.6,3.6,2014/8/8
148,29,1.6,0.22,0.34,2,3.2,5.2,22,25,7,13,NR,75,3.3,1.9,193,197,4.7,3.8,2014/8/9
149,28,1.6,0.24,0.05,3.4,2.8,6.2,22,10,8,3,NR,78,2,1.7,185,196,3.4,3.6,2014/8/10
150,27,1.7,0.22,0.19,2.9,5.5,8.4,21,19,7,8,NR,83,3,1.8,192,202,4.3,3.2,2014/8/11
151,27,1.6,0.28,0.22,4,5.4,9.4,19,21,6,1,NR,81,2.3,1.9,181,193,3.6,1.9,2014/8/12
152,27,1.6,0.19,0.04,3.5,3.1,6.6,19,11,2,1,NR,78,3.2,1.7,185,187,4.7,4.6,2014/8/13
153,29,1.6,0.16,0.14,2.7,3.1,5.7,22,23,4,7,NR,66,2.8,1.8,190,193,6.4,5.6,2014/8/14
154,28,1.6,0.3,0.25,3,6.2,9.2,24,49,11,6,NR,72,2.5,1.9,195,196,4.7,4.5,2014/8/15
155,29,1.6,0.24,0.25,3.1,4.8,7.9,22,39,7,15,NR,71,3.4,1.9,192,194,4.2,2.9,2014/8/16
156,28,1.6,0.28,0.13,2.9,5.6,8.5,23,15,14,22,NR,74,5.5,1.7,190,194,4.1,3.3,2014/8/17
157,28,1.6,0.31,0.09,6.3,11,17,10,55,10,18,NR,74,5,1.7,316,1.7,1.3,0.9,2014/8/18
158,27,1.6,0.3,0.18,3.8,6.2,10,20,23,5,5,NR,74,2.7,1.8,208,213,3.1,1.4,2014/8/19
159,27,1.7,0.18,0.07,3.6,4.8,8.3,13,11,8,14,NR,70,2.2,1.7,182,194,4.1,2.9,2014/8/20
160,28,1.6,0.38,0.07,8.4,12,20,17,25,18,10,NR,62,6.2,1.7,65,50,1.6,1.2,2014/9/1
161,28,1.6,0.28,0.39,1.1,8.6,9.7,31,28,24,27,NR,72,3.9,2,194,198,2.8,2.3,2014/9/2
162,28,1.7,0.47,0.31,3.8,13,17,29,52,18,21,NR,70,2.2,2,200,192,3.8,3.3,2014/9/3
163,28,1.7,0.39,0.17,4.1,12,17,21,39,11,18,NR,68,7.3,1.8,352,307,2.3,0.7,2014/9/4
164,28,1.7,0.34,0.21,3.4,8.6,12,29,42,11,15,NR,64,1.7,1.9,21,60,1.7,0.8,2014/9/5
165,29,1.7,0.42,0.24,1.9,8.4,10,42,42,22,28,NR,70,3.8,1.9,212,219,1.6,1.1,2014/9/6
166,28,1.6,0.22,0.05,1.3,3.8,5.2,38,21,18,22,NR,71,2.1,1.7,185,187,4,3.2,2014/9/7
167,29,1.7,0.31,0.09,2.2,5.7,7.9,34,10,22,34,NR,66,1.5,1.8,193,191,2.1,0.9,2014/9/8
168,28,1.6,0.27,0.17,3.9,8.3,12,17,28,9,6,NR,77,2.1,1.8,209,232,2.3,1.4,2014/9/9
169,28,1.7,0.28,0.28,2.5,7.1,9.7,29,46,11,4,NR,68,2.8,1.9,199,171,2.1,2,2014/9/10
170,29,1.7,0.33,0.13,3,9.6,13,33,46,10,15,NR,68,2.3,1.8,319,307,1.6,0.7,2014/9/11
171,27,1.7,0.41,0.19,4.4,12,16,18,42,20,19,NR,89,11,1.8,183,172,1.8,1.7,2014/9/12
172,28,1.6,0.19,0.04,3.3,5.7,9,20,24,7,9,NR,70,2.6,1.7,50,349,1.8,1.2,2014/9/13
173,28,1.7,0.31,0.12,3.1,7.5,11,23,10,8,15,NR,77,3.2,1.8,214,213,2.8,2.1,2014/9/14
174,30,1.7,0.44,0.26,2.5,10,13,45,71,19,28,NR,70,9.9,2,190,195,3.2,2.7,2014/9/15
175,31,1.6,0.31,0.11,1.8,9,11,35,41,21,20,NR,62,4.1,1.7,190,220,2.2,1,2014/9/16
176,29,1.6,0.37,0.13,6.2,13,19,23,45,18,25,NR,67,3.6,1.8,345,301,1,0.5,2014/9/17
177,29,1.6,0.29,0.12,3.6,6.5,10,28,48,25,19,NR,64,1.8,1.7,321,285,1.7,1,2014/9/18
178,29,1.7,0.39,0.23,3.5,10,14,32,46,30,37,NR,67,3.7,1.9,359,342,1.2,0.6,2014/9/19
179,28,1.7,0.45,0.17,8.5,27,35,21,67,35,39,NR,74,16,1.9,333,310,2.4,0.8,2014/9/20
180,28,1.8,0.46,0.16,2.8,13,16,26,64,33,42,NR,66,5.8,1.9,328,314,1.5,0.8,2014/10/1
181,28,1.8,0.49,0.16,6.1,14,20,20,44,16,16,NR,62,4.1,1.9,319,13,1.5,1.1,2014/10/2
182,26,1.7,0.29,0.07,1.4,6.1,7.5,33,39,7,12,NR,57,1.9,1.8,50,13,1.9,1,2014/10/3
183,24,1.7,0.21,0.03,0.9,4.2,5.1,49,44,24,19,NR,46,1.6,1.7,56,59,2.8,3,2014/10/4
184,24,1.7,0.21,0.03,0.4,4.7,5.1,47,31,2,1,NR,57,1.4,1.7,58,65,2.7,2.8,2014/10/5
185,25,1.7,0.27,0.04,1.6,6.4,8,50,65,24,27,NR,49,1.4,1.8,59,55,2.7,2.2,2014/10/6
186,24,1.7,0.27,0.05,1.9,5.8,7.8,46,29,26,30,NR,46,1.6,1.7,86,94,2.5,1.5,2014/10/7
187,25,1.7,0.54,0.28,6.7,18,25,24,41,13,11,NR,50,2.6,2,6.4,334,2.1,0.6,2014/10/8
188,26,1.7,0.29,0.11,2.6,8.2,11,28,27,8,6,NR,46,2.3,1.8,64,95,2.1,1.1,2014/10/9
189,28,1.7,0.14,0.05,1.2,3.8,4.9,29,34,11,4,NR,60,2.1,1.7,47,64,3.3,1.8,2014/10/10
190,24,1.7,0.15,0.03,1.2,5,6.2,37,40,10,13,NR,75,1.7,1.7,82,99,4.4,2.8,2014/10/11
191,25,1.7,0.16,0.02,0.9,2.4,3.3,42,28,16,24,NR,60,1.6,1.7,64,87,2.8,1.3,2014/10/12
192,25,1.7,0.25,0.07,1.5,4.2,5.7,49,30,18,28,NR,39,1.9,1.8,57,57,3,2.6,2014/10/13
193,24,1.7,0.28,0.1,1.3,7.4,8.7,37,30,14,22,NR,42,1.5,1.8,49,53,2.1,0.8,2014/10/14
194,23,1.7,0.26,0.1,0.9,4.3,5.2,43,32,20,26,NR,43,1.9,1.8,56,321,1.8,1,2014/10/15
195,23,1.7,0.52,0.17,4.8,16,21,34,52,25,22,NR,55,1.4,1.9,358,341,1.9,0.5,2014/10/16
196,26,1.8,0.84,0.36,5.2,25,30,45,66,36,42,NR,49,11,2.2,267,198,1.5,0.2,2014/10/17
197,24,2,1.04,0.53,5.3,31,36,41,65,42,55,NR,67,4.6,2.5,203,206,2.3,1.2,2014/10/18
198,25,1.7,0.39,0.1,2.7,8.8,11,42,54,36,45,NR,57,1.7,1.8,1.4,325,2.3,0.7,2014/10/19
199,25,1.7,0.45,0.12,2.7,9.9,13,40,40,18,26,NR,55,4.4,1.8,49,55,1.8,0.8,2014/10/20
200,24,1.8,0.74,0.25,2.9,23,26,38,76,58,55,NR,77,4.2,2.1,32,47,1.6,0.4,2014/11/1
201,25,1.7,0.36,0.09,1.7,6.4,8.1,51,66,33,38,NR,67,1.2,1.8,59,52,2,1.6,2014/11/2
202,20,1.7,0.31,0.05,0.8,5.6,6.4,45,43,6,10,NR,61,1.5,1.8,55,53,3.9,3.8,2014/11/3
203,21,1.8,0.43,0.17,3.7,14,17,24,36,13,6,NR,62,1.7,1.9,56,19,1.4,0.8,2014/11/4
204,22,1.8,0.83,0.36,8.4,24,33,30,59,25,20,NR,66,2.5,2.2,268,212,1.9,0.5,2014/11/5
205,23,1.8,0.43,0.14,1.4,12,13,52,47,26,23,NR,62,1.9,1.9,13,349,2,0.7,2014/11/6
206,22,1.8,0.62,0.26,4.4,19,23,35,54,24,37,NR,68,2.5,2,49,55,1.5,0.9,2014/11/7
207,23,1.8,0.51,0.15,1.7,14,16,44,53,33,29,NR,67,2.8,1.9,65,40,0.9,0.7,2014/11/8
208,21,1.7,0.24,0.05,1.5,6,7.4,33,20,1,5,NR,85,1.3,1.8,51,6.4,1.3,0.6,2014/11/9
209,22,1.7,0.41,0.16,6,11,17,19,20,4,12,NR,59,1.9,1.9,72,239,1.1,0.6,2014/11/10
210,22,1.8,1.2,0.57,6.4,32,38,28,43,12,23,NR,73,3.2,2.4,225,162,1,0.5,2014/11/11
211,21,1.7,0.39,0.14,6.5,13,19,18,47,4,6,NR,69,1.5,1.8,71,91,1.9,1.1,2014/11/12
212,19,1.7,0.48,0.08,1.3,6,7.3,42,51,10,17,NR,74,1.4,1.8,65,72,2.9,2.3,2014/11/13
